0	2
1	1
2	1
3	1
4	1
5	2
6	2
7	4
8	4
9	6
10	6
11	8
12	10
13	14
14	17
15	23
16	22
17	28
18	36
19	32
20	44
21	59
22	46
23	65
24	43
25	64
26	94
27	61
28	92
29	61
30	81
31	125
32	66
33	105
34	142
35	82
36	138
37	60
38	107
39	175
40	66
41	127
42	78
43	87
44	160
45	55
46	108
47	184
48	76
49	142
50	47
51	92
52	190
53	59
54	123
55	32
56	69
57	149
58	44
59	94
60	153
61	56
62	118
63	30
64	73
65	142
66	40
67	86
68	21
69	53
70	122
71	29
72	68
73	102
74	42
75	95
76	24
77	53
78	111
79	23
80	62
81	15
82	34
83	82
84	19
85	49
86	13
87	29
88	69
89	19
90	46
91	76
92	27
93	65
94	20
95	43
96	91
97	30
98	58
99	17
100	36
101	77
102	26
103	52
104	56
105	33
106	62
107	22
108	41
109	84
110	25
111	54
112	19
113	35
114	72
115	29
116	57
117	27
118	44
119	80
120	35
121	64
122	115
123	44
124	83
125	32
126	63
127	121
128	42
129	84
130	29
131	59
132	113
133	39
134	75
135	100
136	47
137	93
138	24
139	51
140	113
141	34
142	72
143	15
144	38
145	86
146	21
147	48
148	15
149	32
150	66
151	15
152	39
153	94
154	22
155	52
156	11
157	29
158	70
159	12
160	33
161	4
162	15
163	42
164	6
165	22
166	56
167	10
168	35
169	6
170	19
171	47
172	11
173	31
174	6
175	15
176	39
177	10
178	23
179	11
180	10
181	29
182	3
183	13
184	37
185	1
186	12
188	4
189	19
190	1
191	6
193	1
194	11
196	2
197	12
198	1
199	6
201	2
202	9
204	3
206	1
207	3
208	1
209	2
210	3
212	1
214	1
215	2
216	1
217	2
220	1
225	1
228	1
233	1
235	1
237	1
238	2
241	2
243	1
246	1
251	1
256	1
259	1
261	1
